Day,BOLETOS,month,day_name,day_type,day_tipo,April,August,December,February,January,July,June,March,May,November,October,September,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,weekday,weekend,HDAY,LDAY,NDAY,RDAY,BV,WB,FX,SO,UN,PT,MHM,LMM,MHH,LML,HLL,MML,NML,HHL,MMM,NMM,LHM,HML,MHL,NHM,HHM,NHL,LHL,NLL,HMM,NLM,HMH
2016-03-03,0.526459832,March,Thursday,weekday,NDAY,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,5,2,8,6,3,3,7,3,0,2,0,0,7,0,2,1,3,0,0,0,1,0,1,0,0,0,0
2016-03-04,1.267140627,March,Friday,weekday,NDAY,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,5,2,8,6,3,4,7,3,0,2,0,0,8,0,2,1,3,0,0,0,1,0,1,0,0,0,0
2016-03-05,1.663636956,March,Saturday,weekend,NDAY,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,5,1,8,4,3,4,6,3,0,2,0,0,7,0,2,1,3,0,0,0,1,0,0,0,0,0,0
2016-03-06,2.181021086,March,Sunday,weekend,NDAY,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,5,1,8,4,3,4,6,3,0,2,0,0,7,0,2,1,3,0,0,0,1,0,0,0,0,0,0
2016-03-07,0.339204433,March,Monday,weekday,NDAY,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,5,1,8,4,3,4,6,3,0,2,0,0,7,0,2,1,3,0,0,0,1,0,0,0,0,0,0
2016-03-08,0.458304686,March,Tuesday,weekday,NDAY,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,5,1,8,4,3,4,6,3,0,2,0,0,7,0,2,1,3,0,0,0,1,0,0,0,0,0,0
2016-03-09,0.578983722,March,Wednesday,weekday,NDAY,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,5,1,8,4,3,4,6,3,0,2,0,0,7,0,2,1,3,0,0,0,1,0,0,0,0,0,0
2016-03-10,0.500478415,March,Thursday,weekday,NDAY,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,5,1,8,4,3,4,6,3,0,2,0,0,7,0,2,1,3,0,0,0,1,0,0,0,0,0,0
2016-03-11,1.771264937,March,Friday,weekday,NDAY,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,5,1,8,5,3,5,6,3,0,2,0,1,8,0,2,1,3,0,0,0,1,0,0,0,0,0,0
2016-03-12,2.295398038,March,Saturday,weekend,NDAY,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,4,1,8,5,2,5,6,3,0,2,0,1,7,0,1,1,3,0,0,0,1,0,0,0,0,0,0
