Day,BOLETOS,day_of_week,Día,Nombre,Tipo
2016-12-25,2.628465784,6,Domingo,Navidad,Descanso obligatorio
2016-12-26,2.304006319,0,Lunes,Vacaciones de invierno,Vacaciones escolares
2016-12-27,2.340275921,1,Martes,Vacaciones de invierno,Vacaciones escolares
2016-12-28,2.73794329,2,Miércoles,Vacaciones de invierno,Vacaciones escolares
2016-12-29,1.842750532,3,Jueves,Vacaciones de invierno,Vacaciones escolares
2016-12-30,1.853661749,4,Viernes,Vacaciones de invierno,Vacaciones escolares
2016-12-31,0.22891144,5,Sábado,Vacaciones de invierno,Vacaciones escolares
2017-01-01,2.654032934,6,Domingo,Año Nuevo,Descanso obligatorio
2017-01-02,1.671031793,0,,,
2017-01-03,1.413138905,1,,,
2017-01-04,1.397765343,2,,,
2017-01-05,0.834987942,3,,,
2017-01-06,1.235656303,4,Viernes,Día de los Reyes Magos ,No obligatorio
2017-01-07,2.2686924680000002,5,,,
2017-01-08,2.75870559,6,,,
2017-01-09,0.579645898,0,,,
2017-01-10,0.739784722,1,,,
2017-01-11,0.9937371759999999,2,,,
2017-01-12,0.556541519,3,,,
2017-01-13,1.076659161,4,,,
2017-01-14,2.003160098,5,,,
2017-01-15,2.360943625,6,,,
2017-01-16,0.437340145,0,,,
2017-01-17,0.556179443,1,,,
2017-01-18,0.757347051,2,,,
2017-01-19,0.454367515,3,,,
2017-01-20,1.011018977,4,,,
2017-01-21,1.9340752959999998,5,,,
2017-01-22,2.284692324,6,,,
2017-01-23,0.40135433299999995,0,,,
2017-01-24,0.5407928329999999,1,,,
2017-01-25,0.735583332,2,,,
2017-01-26,0.514736391,3,,,
2017-01-27,1.574455292,4,,,
2017-01-28,2.306645235,5,,,
2017-01-29,2.774783733,6,,,
2017-01-30,0.597002724,0,,,
2017-01-31,0.7618028720000001,1,,,
2017-02-01,0.964764552,2,,,
2017-02-02,0.478900627,3,,,
2017-02-03,1.478397441,4,,,
2017-02-04,2.4163934830000002,5,,,
2017-02-05,2.76466517,6,,,
2017-02-06,2.84878429,0,Lunes,Día de la Constitución Méxicana,Descanso obligatorio
2017-02-07,0.610725741,1,,,
2017-02-08,0.830372285,2,,,
2017-02-09,0.5929122410000001,3,,,
2017-02-10,1.7584683140000001,4,,,
2017-02-11,2.523342979,5,,,
2017-02-12,2.7873389719999997,6,,,
2017-02-13,0.541601796,0,,,
2017-02-14,1.9026496869999998,1,,,
2017-02-15,1.095630652,2,,,
2017-02-16,0.6886047540000001,3,,,
2017-02-17,1.20347066,4,,,
2017-02-18,2.1052264569999997,5,,,
2017-02-19,2.5332951830000003,6,,,
2017-02-20,0.50455585,0,,,
2017-02-21,0.636126531,1,,,
2017-02-22,0.8430058109999999,2,,,
2017-02-23,0.622971094,3,,,
2017-02-24,1.138257791,4,,,
2017-02-25,1.748392156,5,,,
2017-02-26,2.050709517,6,,,
2017-02-27,0.521335312,0,,,
2017-02-28,0.6609206,1,,,
2017-03-01,0.703743456,2,,,
2017-03-02,0.636687586,3,,,
2017-03-03,1.8095438999999998,4,,,
2017-03-04,2.430233929,5,,,
2017-03-05,2.749836353,6,,,
2017-03-06,0.609460105,0,,,
2017-03-07,0.7201184359999999,1,,,
2017-03-08,0.923849935,2,,,
2017-03-09,0.417856529,3,,,
2017-03-10,1.3761288409999999,4,,,
2017-03-11,2.534022597,5,,,
2017-03-12,2.9363741230000002,6,,,
2017-03-13,0.470103153,0,,,
2017-03-14,0.663853091,1,,,
2017-03-15,0.9309838159999999,2,,,
2017-03-16,0.625848132,3,,,
2017-03-17,2.516509197,4,,,
2017-03-18,3.356480434,5,,,
2017-03-19,4.208664403999999,6,,,
2017-03-20,3.6712714839999996,0,Lunes,Natalicio de Benito Juárez,Descanso obligatorio
2017-03-21,0.960657759,1,,,
2017-03-22,1.214336209,2,,,
2017-03-23,0.571122427,3,,,
2017-03-24,1.4548102930000002,4,,,
2017-03-25,2.7301211380000003,5,,,
2017-03-26,3.480672588,6,,,
2017-03-27,0.484775396,0,,,
2017-03-28,0.617109373,1,,,
2017-03-29,0.925383051,2,,,
2017-03-30,0.534725609,3,,,
2017-03-31,2.3327538690000003,4,,,
2017-04-01,3.190355935,5,,,
2017-04-02,3.7054893210000004,6,,,
2017-04-03,0.700367339,0,,,
2017-04-04,0.905194853,1,,,
2017-04-05,1.168998391,2,,,
2017-04-06,0.6293547270000001,3,,,
2017-04-07,1.390145432,4,,,
2017-04-08,2.257950872,5,,,
2017-04-09,2.9199371660000004,6,,,
2017-04-10,1.15583643,0,Lunes,Vacaciones de Semana Santa y Pascua,Vacaciones escolares
2017-04-11,1.3925397019999999,1,Martes,Vacaciones de Semana Santa y Pascua,Vacaciones escolares
2017-04-12,2.587613145,2,Miércoles,Vacaciones de Semana Santa y Pascua,Vacaciones escolares
2017-04-13,4.0470479180000005,3,Jueves,Vacaciones de Semana Santa y Pascua,Vacaciones escolares
2017-04-14,3.946136288,4,Viernes,Vacaciones de Semana Santa y Pascua,Vacaciones escolares
2017-04-15,3.5551983189999996,5,Sábado,Vacaciones de Semana Santa y Pascua,Vacaciones escolares
2017-04-16,3.7941295010000005,6,Domingo,Vacaciones de Semana Santa y Pascua,Vacaciones escolares
2017-04-17,1.89165366,0,Lunes,Vacaciones de Semana Santa y Pascua,Vacaciones escolares
