studio,film,total_gross,domestic_gross,international_gross,runtime_min,budget,rating,num_theaters,days_in_theater,open_date,close_date,mov_budget,mov_exp,mov_ext,mov_cat
SO,The 5th Wave,109906372,34916787,74989585,112,38000000,PG-13,2908,126,2016-01-22,2016-05-27,L,M,M,LMM
FX,Kung Fu Panda 3,521170825,143528619,377642206,95,145000000,PG,3987,175,2016-01-29,2016-07-22,M,H,M,MHM
BV,The Finest Hours,52099090,27569558,24529532,109,80000000,PG-13,3143,70,2016-01-29,2016-04-08,N,M,L,NML
UN,"Hail, Ceasar!",63647656,30498085,33149571,100,22000000,PG-13,2248,147,2016-02-05,2016-07-01,L,M,M,LMM
SO,Pride and Prejudice and Zombies,16405171,10938134,5467037,108,28000000,PG-13,2931,28,2016-02-05,2016-03-04,N,M,L,NML
FX,Deadpool,783112979,363070709,420042270,106,58000000,R,3856,126,2016-02-12,2016-06-17,H,H,M,HHM
WB,How to Be Single,112343513,46843513,65500000,110,38000000,R,3357,63,2016-02-12,2016-04-15,L,M,L,LML
PT,Zoolander 2,56722693,28848693,27874000,100,55000000,PG-13,3418,49,2016-02-12,2016-04-01,N,M,L,NML
SO,Risen,46069568,36880033,9189535,107,20000000,PG-13,2915,91,2016-02-19,2016-05-20,N,M,L,NML
FX,Eddie the Eagle,46152800,15789389,30363411,105,23000000,PG-13,2044,91,2016-02-26,2016-05-27,L,M,L,LML
BV,Zootopia,1023784195,341268248,682515947,108,150000000,PG,3959,154,2016-03-03,2016-08-04,M,H,M,MHM
PT,Whiskey Tango Foxtrot,23083334,23083334,0,112,35000000,R,2413,56,2016-03-04,2016-04-29,N,M,L,NML
PT,10 Cloverfield Lane,110216998,72082998,38134000,105,15000000,PG-13,3427,84,2016-03-11,2016-06-03,M,M,L,MML
SO,The Brothers Grimsby,25182929,6874837,18308092,83,35000000,R,2235,35,2016-03-11,2016-04-15,N,M,L,NML
SO,Miracles From Heaven,73883359,61705123,12178236,109,13000000,PG,3155,128,2016-03-16,2016-07-22,N,M,M,NMM
WB,Batman v Superman: Dawn of Justice,873634919,330360194,543274725,151,250000000,PG-13,4256,84,2016-03-25,2016-06-17,M,H,L,MHL
UN,My Big Fat Greek Wedding 2,88923251,59689605,29233646,94,18000000,PG-13,3179,63,2016-03-25,2016-05-27,L,M,L,LML
UN,The Boss,78844582,63285885,15558697,99,29000000,R,3495,119,2016-04-08,2016-08-05,N,M,M,NMM
BV,The Jungle Book (2016),966550600,364001123,602549477,105,175000000,PG,4144,168,2016-04-15,2016-09-30,M,H,M,MHM
WB,Barbershop: The Next Cut,55030051,54030051,1000000,112,20000000,PG-13,2676,91,2016-04-15,2016-07-15,N,M,L,NML
UN,The Huntsman: Winter's War,164989338,48390190,116599148,114,115000000,PG-13,3802,105,2016-04-22,2016-08-05,L,H,M,LHM
WB,Keanu,20591853,20591853,0,98,15000000,R,2681,63,2016-04-29,2016-07-01,N,M,L,NML
BV,Captain America: Civil War,1153304495,408084349,745220146,147,250000000,PG-13,4226,140,2016-05-06,2016-09-23,M,H,M,MHM
SO,Money Monster,93282604,41012075,52270529,95,27000000,R,3104,84,2016-05-13,2016-08-05,L,M,L,LML
SO,The Angry Birds Movie,352333929,107509366,244824563,97,73000000,PG,3932,119,2016-05-20,2016-09-16,M,H,M,MHM
UN,Neighbors 2: Sorority Rising,108007109,55455765,52551344,91,35000000,R,3416,84,2016-05-20,2016-08-12,L,M,L,LML
WB,The Nice Guys,62788218,36261763,26526455,116,50000000,R,2865,77,2016-05-20,2016-08-05,N,M,L,NML
FX,X-Men: Apocalypse,543934787,155442489,388492298,163,178000000,PG-13,4153,63,2016-05-27,2016-07-29,M,H,L,MHL
BV,Alice Through the Looking Glass,299457024,77041381,222415643,112,170000000,PG,3763,98,2016-05-27,2016-09-02,L,H,L,LHL
PT,Teenage Mutant Ninja Turtles: Out of the Shadows,245623848,82051601,163572247,112,135000000,PG-13,4071,98,2016-06-03,2016-09-09,L,H,L,LHL
