studio,film,total_gross,domestic_gross,international_gross,runtime_min,budget,rating,num_theaters,days_in_theater,open_date
Sony,Money Monster,93282604,41012075,52270529,95,27000000,R,3104,84,2016-05-13
Sony,The Angry Birds Movie,352333929,107509366,244824563,97,73000000,PG,3932,119,2016-05-20
Universal,Neighbors 2: Sorority Rising,108007109,55455765,52551344,91,35000000,R,3416,84,2016-05-20
WB,The Nice Guys,62788218,36261763,26526455,116,50000000,R,2865,77,2016-05-20
20th Century Fox,X-Men: Apocalypse,543934787,155442489,388492298,163,178000000,PG-13,4153,63,2016-05-27
Buena Vista,Alice Through the Looking Glass,299457024,77041381,222415643,112,170000000,PG,3763,98,2016-05-27
Paramount,Teenage Mutant Ninja Turtles: Out of the Shadows,245623848,82051601,163572247,112,135000000,PG-13,4071,98,2016-06-03
WB,Me Before You,208314186,56245075,152069111,110,20000000,PG-13,2762,77,2016-06-03
Universal,Warcraft,433677183,47365290,386311893,143,160000000,PG-13,3406,91,2016-06-10
WB,The Conjuring 2,320392818,102470008,217922810,134,40000000,R,3356,77,2016-06-10
Buena Vista,Finding Dory,1028570889,486295561,542275328,103,200000000,PG,4305,175,2016-06-17
WB,Central Intelligence,216972543,127440871,89531672,107,50000000,PG-13,3508,77,2016-06-17
20th Century Fox,Independence Day: Resurgence,389681935,103144286,286537649,140,165000000,PG-13,4130,84,2016-06-24
Sony,The Shallows,119100758,55124043,63976715,85,17000000,PG-13,2962,98,2016-06-24
WB,The Legend of Tarzan,356700357,126643061,230057296,109,180000000,PG-13,3591,77,2016-07-01
Buena Vista,The BFG,183345589,55483770,127861819,117,140000000,PG,3392,105,2016-07-01
Universal,The Purge: Election Year,118587880,79213375,39374505,105,10000000,R,2821,105,2016-07-01
Universal,The Secret Life of Pets,875457937,368384330,507073607,90,75000000,PG,4381,175,2016-07-08
20th Century Fox,Mike and Dave Need Wedding Dates,77068246,46009673,31058573,98,33000000,R,3008,98,2016-07-08
Sony,Ghostbuster (2016),229147509,128350574,100796935,108,144000000,PG-13,3963,119,2016-07-15
20th Century Fox,Ice Age: Collision Course,408579038,64063008,344516030,94,105000000,PG,3997,105,2016-07-22
WB,Lights Out,148868835,67268835,81600000,81,4900000,PG-13,2835,70,2016-07-22
Universal,Jason Bourne,415484914,162434410,253050504,142,120000000,PG-13,4039,147,2016-07-29
Buena Vista,The Light Between Oceans,25975621,12545979,13429642,152,20000000,PG-13,1500,63,2016-08-02
WB,Suicide Squad,746846894,325100054,421746840,130,175000000,PG-13,4255,98,2016-08-05
Buena Vista,Pete's Dragon,143695338,76233151,67462187,102,65000000,PG,3702,126,2016-08-12
Sony,Sausage Party,140705322,97685686,43019636,89,19000000,R,3135,133,2016-08-12
Paramount,Florence Foster Jenkins,48902953,27383770,21519183,110,29000000,PG-13,1528,77,2016-08-12
Paramount,Ben-Hur (2016),94061311,26410477,67650834,123,100000000,PG-13,3084,49,2016-08-19
WB,War Dogs,86234523,43034523,43200000,114,50000000,R,3258,63,2016-08-19
Sony,Don't Breathe,157100845,89217875,67882970,88,9900000,R,3384,119,2016-08-26
20th Century Fox,Morgan,8810591,3915251,4895340,92,8000000,R,2020,35,2016-09-02
WB,Sully,240797623,125070033,115727590,96,60000000,PG-13,3955,140,2016-09-09
Sony,When the Bough Breaks,30658387,29747603,910784,107,10000000,PG-13,2246,70,2016-09-09
Universal,Bridget Jones's Baby,211952420,24252420,187700000,122,35000000,R,2930,91,2016-09-16
WB,Storks,183388953,72679278,110709675,89,70000000,PG,3922,112,2016-09-23
Sony,The Magnificent Seven (2016),162360636,93432655,68927981,133,90000000,PG-13,3696,105,2016-09-23
Buena Vista,Queen of Katwe,10367161,8874389,1492772,144,15000000,PG,1259,105,2016-09-23
